0.0050925-0.0027833i,0.0050963-0.0027827i,0.0050999-0.002782i,0.0051033-0.0027815i,0.0051065-0.0027809i,0.0051095-0.0027803i,0.0051123-0.0027797i,0.0051151-0.0027792i,0.0051178-0.0027787i,0.0051204-0.0027782i,0.0051229-0.0027777i,0.0051253-0.0027773i,0.0051277-0.0027768i,0.0051299-0.0027763i,0.0051322-0.0027759i,0.0051344-0.0027755i,0.0051364-0.0027751i,0.0051385-0.0027747i,0.0051406-0.0027743i,0.0051425-0.0027739i,0.0051445-0.0027735i,0.0051465-0.0027731i,0.0051483-0.0027727i,0.0051502-0.0027724i,0.0051519-0.002772i,0.0051537-0.0027716i,0.0051555-0.0027713i,0.0051572-0.0027709i,0.0051589-0.0027706i,0.0051605-0.0027702i,0.0051622-0.0027699i,0.0051638-0.0027696i,0.0051655-0.0027693i,0.005167-0.0027689i,0.0051686-0.0027686i,0.0051702-0.0027683i,0.0051717-0.002768i,0.0051732-0.0027677i,0.0051747-0.0027674i,0.0051762-0.0027671i,0.0051776-0.0027668i,0.005179-0.0027665i,0.0051804-0.0027662i,0.0051819-0.0027659i,0.0051833-0.0027656i,0.0051846-0.0027653i,0.005186-0.002765i,0.0051873-0.0027648i,0.0051887-0.0027645i,0.00519-0.0027642i
0.0050227-0.0020857i,0.0050267-0.0020851i,0.0050303-0.0020846i,0.0050338-0.0020842i,0.0050371-0.0020837i,0.0050402-0.0020832i,0.0050431-0.0020828i,0.0050459-0.0020824i,0.0050486-0.0020819i,0.0050513-0.0020816i,0.0050538-0.0020812i,0.0050563-0.0020808i,0.0050587-0.0020805i,0.005061-0.0020801i,0.0050633-0.0020797i,0.0050655-0.0020794i,0.0050676-0.0020791i,0.0050698-0.0020787i,0.0050719-0.0020784i,0.0050738-0.0020781i,0.0050758-0.0020778i,0.0050778-0.0020775i,0.0050797-0.0020772i,0.0050816-0.0020769i,0.0050834-0.0020766i,0.0050852-0.0020763i,0.005087-0.0020761i,0.0050887-0.0020758i,0.0050905-0.0020755i,0.0050922-0.0020752i,0.0050939-0.002075i,0.0050955-0.0020747i,0.0050972-0.0020744i,0.0050987-0.0020742i,0.0051003-0.0020739i,0.0051019-0.0020737i,0.0051035-0.0020734i,0.005105-0.0020732i,0.0051065-0.002073i,0.005108-0.0020727i,0.0051095-0.0020725i,0.0051109-0.0020722i,0.0051124-0.002072i,0.0051138-0.0020718i,0.0051152-0.0020716i,0.0051166-0.0020713i,0.005118-0.0020711i,0.0051194-0.0020709i,0.0051207-0.0020707i,0.0051221-0.0020704i
0.0049312-0.0016068i,0.0049353-0.0016063i,0.004939-0.0016059i,0.0049426-0.0016056i,0.0049459-0.0016052i,0.0049491-0.0016048i,0.004952-0.0016044i,0.0049549-0.0016041i,0.0049577-0.0016038i,0.0049604-0.0016035i,0.004963-0.0016032i,0.0049655-0.0016029i,0.004968-0.0016026i,0.0049703-0.0016023i,0.0049726-0.001602i,0.0049749-0.0016018i,0.0049771-0.0016015i,0.0049792-0.0016012i,0.0049813-0.001601i,0.0049834-0.0016007i,0.0049854-0.0016005i,0.0049874-0.0016002i,0.0049893-0.0016i,0.0049912-0.0015998i,0.0049931-0.0015995i,0.0049949-0.0015993i,0.0049967-0.0015991i,0.0049985-0.0015989i,0.0050003-0.0015987i,0.005002-0.0015984i,0.0050037-0.0015982i,0.0050054-0.001598i,0.005007-0.0015978i,0.0050087-0.0015976i,0.0050103-0.0015974i,0.0050119-0.0015972i,0.0050135-0.001597i,0.005015-0.0015968i,0.0050165-0.0015966i,0.0050181-0.0015964i,0.0050196-0.0015963i,0.005021-0.0015961i,0.0050225-0.0015959i,0.005024-0.0015957i,0.0050254-0.0015955i,0.0050268-0.0015953i,0.0050282-0.0015952i,0.0050296-0.001595i,0.005031-0.0015948i,0.0050324-0.0015946i
0.0048217-0.0012691i,0.0048258-0.0012688i,0.0048296-0.0012684i,0.0048332-0.0012681i,0.0048366-0.0012678i,0.0048398-0.0012676i,0.0048428-0.0012673i,0.0048458-0.001267i,0.0048486-0.0012667i,0.0048513-0.0012665i,0.004854-0.0012663i,0.0048565-0.001266i,0.004859-0.0012658i,0.0048614-0.0012656i,0.0048637-0.0012653i,0.004866-0.0012652i,0.0048682-0.0012649i,0.0048704-0.0012647i,0.0048726-0.0012645i,0.0048746-0.0012643i,0.0048767-0.0012641i,0.0048787-0.001264i,0.0048807-0.0012638i,0.0048826-0.0012636i,0.0048845-0.0012634i,0.0048864-0.0012632i,0.0048882-0.001263i,0.00489-0.0012629i,0.0048918-0.0012627i,0.0048935-0.0012625i,0.0048953-0.0012624i,0.004897-0.0012622i,0.0048986-0.001262i,0.0049003-0.0012619i,0.0049019-0.0012617i,0.0049035-0.0012616i,0.0049051-0.0012614i,0.0049067-0.0012613i,0.0049083-0.0012611i,0.0049098-0.001261i,0.0049113-0.0012608i,0.0049128-0.0012607i,0.0049143-0.0012605i,0.0049158-0.0012604i,0.0049172-0.0012602i,0.0049187-0.0012601i,0.0049201-0.0012599i,0.0049215-0.0012598i,0.0049229-0.0012597i,0.0049243-0.0012595i
0.0047042-0.0010207i,0.0047084-0.0010205i,0.0047123-0.0010202i,0.0047159-0.00102i,0.0047194-0.0010198i,0.0047226-0.0010195i,0.0047257-0.0010193i,0.0047287-0.0010191i,0.0047315-0.0010189i,0.0047343-0.0010187i,0.004737-0.0010185i,0.0047395-0.0010184i,0.0047421-0.0010182i,0.0047445-0.001018i,0.0047469-0.0010178i,0.0047492-0.0010177i,0.0047514-0.0010175i,0.0047536-0.0010174i,0.0047558-0.0010172i,0.0047579-0.001017i,0.00476-0.0010169i,0.004762-0.0010168i,0.004764-0.0010166i,0.0047659-0.0010165i,0.0047679-0.0010163i,0.0047697-0.0010162i,0.0047716-0.0010161i,0.0047734-0.0010159i,0.0047752-0.0010158i,0.004777-0.0010156i,0.0047787-0.0010155i,0.0047805-0.0010154i,0.0047822-0.0010153i,0.0047838-0.0010151i,0.0047855-0.001015i,0.0047871-0.0010149i,0.0047887-0.0010148i,0.0047903-0.0010147i,0.0047919-0.0010145i,0.0047935-0.0010144i,0.004795-0.0010143i,0.0047965-0.0010142i,0.004798-0.0010141i,0.0047995-0.001014i,0.004801-0.0010139i,0.0048024-0.0010138i,0.0048039-0.0010136i,0.0048053-0.0010135i,0.0048067-0.0010134i,0.0048081-0.0010133i
0.0045902-0.00082925i,0.0045944-0.00082905i,0.0045983-0.00082886i,0.004602-0.00082869i,0.0046055-0.00082852i,0.0046087-0.00082836i,0.0046119-0.00082819i,0.0046149-0.00082804i,0.0046177-0.00082789i,0.0046205-0.00082775i,0.0046232-0.00082761i,0.0046258-0.00082747i,0.0046284-0.00082734i,0.0046308-0.00082721i,0.0046332-0.00082708i,0.0046355-0.00082696i,0.0046378-0.00082684i,0.00464-0.00082672i,0.0046422-0.00082661i,0.0046443-0.00082649i,0.0046464-0.00082638i,0.0046484-0.00082627i,0.0046504-0.00082616i,0.0046524-0.00082605i,0.0046544-0.00082595i,0.0046563-0.00082584i,0.0046581-0.00082574i,0.00466-0.00082564i,0.0046618-0.00082554i,0.0046636-0.00082544i,0.0046653-0.00082534i,0.0046671-0.00082525i,0.0046688-0.00082515i,0.0046705-0.00082506i,0.0046721-0.00082497i,0.0046738-0.00082488i,0.0046754-0.00082478i,0.004677-0.00082469i,0.0046786-0.00082461i,0.0046802-0.00082452i,0.0046817-0.00082443i,0.0046832-0.00082435i,0.0046847-0.00082426i,0.0046862-0.00082418i,0.0046877-0.00082409i,0.0046892-0.00082401i,0.0046907-0.00082393i,0.0046921-0.00082385i,0.0046935-0.00082377i,0.0046949-0.00082369i
0.004486-0.00067824i,0.0044903-0.00067809i,0.0044942-0.00067796i,0.0044979-0.00067783i,0.0045014-0.0006777i,0.0045047-0.00067758i,0.0045078-0.00067747i,0.0045109-0.00067736i,0.0045138-0.00067725i,0.0045166-0.00067714i,0.0045193-0.00067704i,0.0045219-0.00067694i,0.0045244-0.00067684i,0.0045269-0.00067675i,0.0045293-0.00067665i,0.0045316-0.00067656i,0.0045339-0.00067647i,0.0045361-0.00067638i,0.0045383-0.0006763i,0.0045405-0.00067621i,0.0045426-0.00067613i,0.0045446-0.00067604i,0.0045466-0.00067597i,0.0045486-0.00067589i,0.0045505-0.00067581i,0.0045525-0.00067573i,0.0045543-0.00067565i,0.0045562-0.00067558i,0.004558-0.0006755i,0.0045598-0.00067544i,0.0045616-0.00067536i,0.0045633-0.00067529i,0.004565-0.00067522i,0.0045667-0.00067515i,0.0045684-0.00067508i,0.0045701-0.00067501i,0.0045717-0.00067494i,0.0045733-0.00067487i,0.0045749-0.00067481i,0.0045765-0.00067474i,0.004578-0.00067468i,0.0045796-0.00067462i,0.0045811-0.00067455i,0.0045826-0.00067449i,0.0045841-0.00067442i,0.0045856-0.00067437i,0.004587-0.0006743i,0.0045885-0.00067424i,0.0045899-0.00067418i,0.0045913-0.00067412i
0.0043965-0.00055552i,0.0044008-0.00055542i,0.0044047-0.00055533i,0.0044084-0.00055523i,0.0044119-0.00055515i,0.0044153-0.00055506i,0.0044184-0.00055498i,0.0044214-0.00055491i,0.0044243-0.00055483i,0.0044271-0.00055475i,0.0044298-0.00055468i,0.0044325-0.00055461i,0.004435-0.00055453i,0.0044375-0.00055447i,0.0044399-0.0005544i,0.0044423-0.00055433i,0.0044445-0.00055428i,0.0044468-0.00055421i,0.004449-0.00055414i,0.0044511-0.00055409i,0.0044532-0.00055403i,0.0044553-0.00055396i,0.0044573-0.00055391i,0.0044593-0.00055385i,0.0044612-0.0005538i,0.0044631-0.00055374i,0.004465-0.00055368i,0.0044669-0.00055363i,0.0044687-0.00055357i,0.0044705-0.00055353i,0.0044723-0.00055347i,0.004474-0.00055342i,0.0044757-0.00055337i,0.0044774-0.00055332i,0.0044791-0.00055327i,0.0044808-0.00055322i,0.0044824-0.00055317i,0.004484-0.00055312i,0.0044856-0.00055307i,0.0044872-0.00055302i,0.0044888-0.00055298i,0.0044903-0.00055294i,0.0044918-0.00055288i,0.0044934-0.00055284i,0.0044948-0.00055279i,0.0044963-0.00055275i,0.0044978-0.0005527i,0.0044992-0.00055266i,0.0045007-0.00055261i,0.0045021-0.00055257i
0.0043272-0.00045629i,0.0043315-0.00045622i,0.0043354-0.00045616i,0.0043392-0.00045609i,0.0043427-0.00045603i,0.004346-0.00045598i,0.0043491-0.00045592i,0.0043522-0.00045587i,0.0043551-0.00045582i,0.0043579-0.00045576i,0.0043606-0.00045571i,0.0043632-0.00045566i,0.0043658-0.00045561i,0.0043682-0.00045557i,0.0043707-0.00045552i,0.004373-0.00045547i,0.0043753-0.00045543i,0.0043775-0.00045539i,0.0043798-0.00045534i,0.0043819-0.0004553i,0.004384-0.00045526i,0.0043861-0.00045521i,0.0043881-0.00045517i,0.0043901-0.00045513i,0.004392-0.00045509i,0.0043939-0.00045505i,0.0043958-0.00045501i,0.0043977-0.00045498i,0.0043995-0.00045493i,0.0044013-0.0004549i,0.0044031-0.00045486i,0.0044048-0.00045483i,0.0044066-0.00045479i,0.0044082-0.00045476i,0.00441-0.00045471i,0.0044116-0.00045468i,0.0044133-0.00045464i,0.0044149-0.00045461i,0.0044165-0.00045458i,0.0044181-0.00045454i,0.0044196-0.00045451i,0.0044211-0.00045448i,0.0044227-0.00045444i,0.0044242-0.00045441i,0.0044257-0.00045438i,0.0044272-0.00045435i,0.0044287-0.00045431i,0.0044301-0.00045428i,0.0044315-0.00045425i,0.004433-0.00045422i
0.0042662-0.00035909i,0.0042704-0.00035905i,0.0042744-0.00035901i,0.0042782-0.00035897i,0.0042817-0.00035893i,0.004285-0.00035889i,0.0042881-0.00035886i,0.0042911-0.00035882i,0.0042941-0.00035879i,0.0042969-0.00035875i,0.0042996-0.00035872i,0.0043022-0.00035868i,0.0043048-0.00035865i,0.0043072-0.00035862i,0.0043097-0.00035859i,0.0043121-0.00035855i,0.0043143-0.00035853i,0.0043166-0.0003585i,0.0043188-0.00035846i,0.0043209-0.00035844i,0.004323-0.00035841i,0.0043251-0.00035837i,0.0043271-0.00035835i,0.0043291-0.00035832i,0.004331-0.0003583i,0.004333-0.00035827i,0.0043349-0.00035824i,0.0043367-0.00035822i,0.0043386-0.00035818i,0.0043403-0.00035816i,0.0043422-0.00035813i,0.0043439-0.00035811i,0.0043456-0.00035808i,0.0043473-0.00035806i,0.004349-0.00035803i,0.0043507-0.00035801i,0.0043523-0.00035798i,0.004354-0.00035796i,0.0043555-0.00035794i,0.0043571-0.00035791i,0.0043587-0.00035789i,0.0043602-0.00035787i,0.0043618-0.00035784i,0.0043633-0.00035782i,0.0043648-0.0003578i,0.0043662-0.00035778i,0.0043677-0.00035775i,0.0043692-0.00035773i,0.0043706-0.00035771i,0.0043721-0.00035769i
0.0042209-0.00026702i,0.0042251-0.00026699i,0.0042291-0.00026697i,0.0042329-0.00026695i,0.0042364-0.00026692i,0.0042397-0.0002669i,0.0042428-0.00026688i,0.0042459-0.00026686i,0.0042488-0.00026684i,0.0042516-0.00026682i,0.0042543-0.0002668i,0.0042569-0.00026678i,0.0042595-0.00026675i,0.004262-0.00026674i,0.0042644-0.00026672i,0.0042668-0.0002667i,0.004269-0.00026668i,0.0042713-0.00026666i,0.0042735-0.00026664i,0.0042756-0.00026663i,0.0042777-0.00026661i,0.0042798-0.00026659i,0.0042818-0.00026657i,0.0042839-0.00026655i,0.0042858-0.00026654i,0.0042877-0.00026652i,0.0042896-0.0002665i,0.0042915-0.00026649i,0.0042933-0.00026647i,0.0042951-0.00026646i,0.0042969-0.00026644i,0.0042986-0.00026642i,0.0043004-0.0002664i,0.0043021-0.00026639i,0.0043038-0.00026637i,0.0043055-0.00026636i,0.0043071-0.00026634i,0.0043087-0.00026633i,0.0043103-0.00026631i,0.0043119-0.0002663i,0.0043135-0.00026628i,0.004315-0.00026627i,0.0043166-0.00026625i,0.0043181-0.00026624i,0.0043196-0.00026622i,0.004321-0.00026621i,0.0043225-0.0002662i,0.004324-0.00026618i,0.0043254-0.00026617i,0.0043269-0.00026615i
0.0042044-0.00018049i,0.0042086-0.00018048i,0.0042126-0.00018047i,0.0042164-0.00018046i,0.0042199-0.00018046i,0.0042232-0.00018045i,0.0042263-0.00018044i,0.0042294-0.00018043i,0.0042323-0.00018042i,0.0042351-0.00018041i,0.0042378-0.0001804i,0.0042404-0.0001804i,0.004243-0.00018039i,0.0042455-0.00018038i,0.0042479-0.00018037i,0.0042503-0.00018036i,0.0042525-0.00018035i,0.0042548-0.00018035i,0.004257-0.00018034i,0.0042591-0.00018033i,0.0042612-0.00018032i,0.0042633-0.00018031i,0.0042653-0.0001803i,0.0042673-0.0001803i,0.0042693-0.00018029i,0.0042712-0.00018028i,0.0042731-0.00018027i,0.0042749-0.00018027i,0.0042768-0.00018026i,0.0042786-0.00018025i,0.0042804-0.00018024i,0.0042821-0.00018024i,0.0042839-0.00018023i,0.0042855-0.00018022i,0.0042873-0.00018021i,0.0042889-0.00018021i,0.0042906-0.0001802i,0.0042922-0.00018019i,0.0042938-0.00018018i,0.0042954-0.00018018i,0.0042969-0.00018017i,0.0042984-0.00018016i,0.0043-0.00018016i,0.0043015-0.00018015i,0.004303-0.00018014i,0.0043045-0.00018013i,0.004306-0.00018013i,0.0043074-0.00018012i,0.0043089-0.00018011i,0.0043103-0.00018011i
0.0042217-0.00012401i,0.004226-0.00012401i,0.00423-0.00012401i,0.0042337-0.00012402i,0.0042372-0.00012402i,0.0042405-0.00012402i,0.0042437-0.00012402i,0.0042467-0.00012402i,0.0042496-0.00012402i,0.0042524-0.00012401i,0.0042551-0.00012401i,0.0042578-0.00012401i,0.0042603-0.00012401i,0.0042628-0.00012401i,0.0042652-0.00012401i,0.0042676-0.00012401i,0.0042698-0.000124i,0.0042721-0.000124i,0.0042743-0.000124i,0.0042764-0.000124i,0.0042785-0.000124i,0.0042806-0.000124i,0.0042826-0.00012399i,0.0042846-0.00012399i,0.0042865-0.00012399i,0.0042884-0.00012399i,0.0042904-0.00012399i,0.0042922-0.00012398i,0.0042941-0.00012398i,0.0042958-0.00012398i,0.0042976-0.00012398i,0.0042993-0.00012397i,0.0043011-0.00012397i,0.0043028-0.00012397i,0.0043045-0.00012397i,0.0043062-0.00012397i,0.0043078-0.00012396i,0.0043094-0.00012396i,0.004311-0.00012396i,0.0043126-0.00012396i,0.0043142-0.00012396i,0.0043157-0.00012395i,0.0043172-0.00012395i,0.0043188-0.00012395i,0.0043202-0.00012395i,0.0043217-0.00012394i,0.0043232-0.00012394i,0.0043246-0.00012394i,0.0043261-0.00012394i,0.0043275-0.00012393i
0.0042418-0.00010577i,0.004246-0.00010577i,0.00425-0.00010578i,0.0042537-0.00010579i,0.0042572-0.00010579i,0.0042605-0.00010579i,0.0042637-0.00010579i,0.0042667-0.0001058i,0.0042696-0.0001058i,0.0042724-0.0001058i,0.0042751-0.0001058i,0.0042777-0.0001058i,0.0042803-0.00010581i,0.0042828-0.00010581i,0.0042852-0.00010581i,0.0042876-0.00010581i,0.0042898-0.00010581i,0.004292-0.00010581i,0.0042943-0.00010581i,0.0042964-0.00010581i,0.0042985-0.00010581i,0.0043006-0.00010581i,0.0043026-0.00010581i,0.0043046-0.00010581i,0.0043065-0.00010581i,0.0043084-0.00010581i,0.0043103-0.00010581i,0.0043122-0.00010581i,0.004314-0.00010581i,0.0043158-0.00010581i,0.0043176-0.00010581i,0.0043193-0.00010581i,0.0043211-0.00010581i,0.0043227-0.00010581i,0.0043244-0.00010581i,0.0043261-0.00010581i,0.0043277-0.00010581i,0.0043294-0.00010581i,0.0043309-0.00010581i,0.0043325-0.00010581i,0.0043341-0.0001058i,0.0043356-0.0001058i,0.0043372-0.0001058i,0.0043387-0.0001058i,0.0043402-0.0001058i,0.0043416-0.0001058i,0.0043431-0.0001058i,0.0043446-0.0001058i,0.004346-0.0001058i,0.0043474-0.0001058i
0.0042529-0.00010688i,0.0042572-0.00010689i,0.0042612-0.00010689i,0.0042649-0.0001069i,0.0042684-0.00010691i,0.0042717-0.00010691i,0.0042749-0.00010691i,0.0042779-0.00010692i,0.0042808-0.00010692i,0.0042836-0.00010692i,0.0042863-0.00010693i,0.004289-0.00010693i,0.0042915-0.00010693i,0.004294-0.00010693i,0.0042964-0.00010693i,0.0042988-0.00010694i,0.004301-0.00010694i,0.0043033-0.00010694i,0.0043055-0.00010694i,0.0043076-0.00010694i,0.0043097-0.00010694i,0.0043118-0.00010694i,0.0043138-0.00010694i,0.0043158-0.00010694i,0.0043177-0.00010694i,0.0043196-0.00010694i,0.0043215-0.00010695i,0.0043234-0.00010695i,0.0043252-0.00010695i,0.004327-0.00010695i,0.0043288-0.00010695i,0.0043305-0.00010695i,0.0043323-0.00010695i,0.004334-0.00010695i,0.0043357-0.00010695i,0.0043373-0.00010695i,0.004339-0.00010695i,0.0043406-0.00010695i,0.0043422-0.00010695i,0.0043438-0.00010695i,0.0043453-0.00010695i,0.0043468-0.00010695i,0.0043484-0.00010695i,0.0043499-0.00010695i,0.0043514-0.00010695i,0.0043529-0.00010694i,0.0043544-0.00010695i,0.0043558-0.00010694i,0.0043572-0.00010694i,0.0043587-0.00010694i
0.0042575-0.00011818i,0.0042618-0.00011819i,0.0042657-0.0001182i,0.0042695-0.00011821i,0.004273-0.00011822i,0.0042763-0.00011822i,0.0042794-0.00011823i,0.0042825-0.00011823i,0.0042854-0.00011823i,0.0042882-0.00011824i,0.0042909-0.00011824i,0.0042935-0.00011824i,0.0042961-0.00011825i,0.0042986-0.00011825i,0.004301-0.00011825i,0.0043034-0.00011825i,0.0043056-0.00011825i,0.0043079-0.00011826i,0.0043101-0.00011826i,0.0043122-0.00011826i,0.0043143-0.00011826i,0.0043164-0.00011826i,0.0043184-0.00011826i,0.0043204-0.00011826i,0.0043223-0.00011826i,0.0043243-0.00011827i,0.0043262-0.00011827i,0.004328-0.00011827i,0.0043299-0.00011827i,0.0043316-0.00011827i,0.0043334-0.00011827i,0.0043352-0.00011827i,0.0043369-0.00011827i,0.0043386-0.00011827i,0.0043403-0.00011827i,0.004342-0.00011827i,0.0043436-0.00011827i,0.0043452-0.00011827i,0.0043468-0.00011827i,0.0043484-0.00011827i,0.00435-0.00011827i,0.0043515-0.00011827i,0.0043531-0.00011827i,0.0043546-0.00011827i,0.0043561-0.00011827i,0.0043575-0.00011827i,0.004359-0.00011827i,0.0043605-0.00011827i,0.0043619-0.00011827i,0.0043633-0.00011827i
0.0042574-0.00013786i,0.0042617-0.00013787i,0.0042657-0.00013788i,0.0042694-0.00013789i,0.0042729-0.0001379i,0.0042763-0.00013791i,0.0042794-0.00013791i,0.0042825-0.00013792i,0.0042854-0.00013792i,0.0042882-0.00013793i,0.0042909-0.00013793i,0.0042935-0.00013793i,0.0042961-0.00013794i,0.0042986-0.00013794i,0.004301-0.00013794i,0.0043034-0.00013795i,0.0043057-0.00013795i,0.0043079-0.00013795i,0.0043101-0.00013795i,0.0043123-0.00013795i,0.0043144-0.00013796i,0.0043164-0.00013796i,0.0043185-0.00013796i,0.0043205-0.00013796i,0.0043224-0.00013796i,0.0043243-0.00013796i,0.0043262-0.00013796i,0.0043281-0.00013797i,0.0043299-0.00013797i,0.0043317-0.00013797i,0.0043335-0.00013797i,0.0043353-0.00013797i,0.004337-0.00013797i,0.0043387-0.00013797i,0.0043404-0.00013797i,0.0043421-0.00013797i,0.0043437-0.00013797i,0.0043453-0.00013797i,0.0043469-0.00013797i,0.0043485-0.00013797i,0.0043501-0.00013797i,0.0043516-0.00013797i,0.0043532-0.00013797i,0.0043547-0.00013797i,0.0043562-0.00013797i,0.0043577-0.00013797i,0.0043592-0.00013797i,0.0043606-0.00013797i,0.0043621-0.00013797i,0.0043635-0.00013797i
0.004255-0.00016688i,0.0042593-0.0001669i,0.0042633-0.00016691i,0.004267-0.00016692i,0.0042706-0.00016693i,0.0042739-0.00016694i,0.0042771-0.00016695i,0.0042801-0.00016695i,0.004283-0.00016696i,0.0042858-0.00016696i,0.0042886-0.00016697i,0.0042912-0.00016697i,0.0042938-0.00016698i,0.0042963-0.00016698i,0.0042987-0.00016699i,0.0043011-0.00016699i,0.0043033-0.00016699i,0.0043056-0.000167i,0.0043078-0.000167i,0.00431-0.000167i,0.0043121-0.000167i,0.0043142-0.00016701i,0.0043162-0.00016701i,0.0043182-0.00016701i,0.0043201-0.00016701i,0.004322-0.00016701i,0.004324-0.00016702i,0.0043258-0.00016702i,0.0043277-0.00016702i,0.0043295-0.00016702i,0.0043313-0.00016702i,0.004333-0.00016702i,0.0043347-0.00016702i,0.0043364-0.00016702i,0.0043381-0.00016703i,0.0043398-0.00016703i,0.0043415-0.00016703i,0.0043431-0.00016703i,0.0043447-0.00016703i,0.0043463-0.00016703i,0.0043479-0.00016703i,0.0043494-0.00016703i,0.0043509-0.00016703i,0.0043525-0.00016703i,0.004354-0.00016703i,0.0043554-0.00016703i,0.0043569-0.00016703i,0.0043584-0.00016703i,0.0043598-0.00016703i,0.0043613-0.00016703i
0.0042505-0.00020863i,0.0042548-0.00020865i,0.0042588-0.00020866i,0.0042626-0.00020868i,0.0042661-0.00020869i,0.0042694-0.0002087i,0.0042726-0.00020871i,0.0042756-0.00020872i,0.0042786-0.00020873i,0.0042814-0.00020873i,0.0042841-0.00020874i,0.0042868-0.00020875i,0.0042894-0.00020875i,0.0042918-0.00020876i,0.0042943-0.00020876i,0.0042966-0.00020877i,0.0042989-0.00020877i,0.0043012-0.00020878i,0.0043034-0.00020878i,0.0043056-0.00020878i,0.0043077-0.00020879i,0.0043098-0.00020879i,0.0043118-0.00020879i,0.0043138-0.00020879i,0.0043157-0.0002088i,0.0043177-0.0002088i,0.0043196-0.0002088i,0.0043214-0.0002088i,0.0043233-0.00020881i,0.0043251-0.00020881i,0.0043269-0.00020881i,0.0043286-0.00020881i,0.0043304-0.00020881i,0.0043321-0.00020881i,0.0043338-0.00020882i,0.0043355-0.00020882i,0.0043371-0.00020882i,0.0043388-0.00020882i,0.0043404-0.00020882i,0.004342-0.00020882i,0.0043435-0.00020882i,0.0043451-0.00020882i,0.0043466-0.00020882i,0.0043482-0.00020882i,0.0043497-0.00020882i,0.0043511-0.00020882i,0.0043526-0.00020882i,0.0043541-0.00020882i,0.0043555-0.00020883i,0.004357-0.00020883i
0.0042422-0.00026804i,0.0042465-0.00026806i,0.0042505-0.00026808i,0.0042543-0.0002681i,0.0042578-0.00026812i,0.0042612-0.00026813i,0.0042643-0.00026814i,0.0042674-0.00026816i,0.0042703-0.00026817i,0.0042731-0.00026817i,0.0042759-0.00026818i,0.0042785-0.00026819i,0.0042811-0.0002682i,0.0042836-0.00026821i,0.004286-0.00026821i,0.0042884-0.00026822i,0.0042907-0.00026823i,0.004293-0.00026823i,0.0042952-0.00026824i,0.0042973-0.00026824i,0.0042995-0.00026825i,0.0043015-0.00026825i,0.0043036-0.00026825i,0.0043056-0.00026826i,0.0043075-0.00026826i,0.0043095-0.00026826i,0.0043114-0.00026827i,0.0043132-0.00026827i,0.0043151-0.00026827i,0.0043169-0.00026828i,0.0043187-0.00026828i,0.0043205-0.00026828i,0.0043222-0.00026828i,0.0043239-0.00026829i,0.0043256-0.00026829i,0.0043273-0.00026829i,0.004329-0.00026829i,0.0043306-0.00026829i,0.0043322-0.00026829i,0.0043338-0.00026829i,0.0043354-0.0002683i,0.0043369-0.0002683i,0.0043385-0.0002683i,0.00434-0.0002683i,0.0043415-0.0002683i,0.004343-0.0002683i,0.0043445-0.0002683i,0.0043459-0.0002683i,0.0043474-0.0002683i,0.0043488-0.0002683i
