0.0050904-0.002784i,0.0050931-0.0027834i,0.0050958-0.0027829i,0.0050986-0.0027823i,0.0051013-0.0027817i,0.0051041-0.0027812i,0.0051069-0.0027806i,0.0051095-0.00278i,0.0051123-0.0027795i,0.005115-0.0027789i,0.0051178-0.0027784i,0.0051206-0.0027778i,0.0051232-0.0027772i,0.005126-0.0027767i,0.0051287-0.0027761i,0.0051315-0.0027756i,0.0051343-0.0027751i,0.005137-0.0027745i,0.0051397-0.0027739i,0.0051424-0.0027734i,0.0051452-0.0027728i,0.005148-0.0027723i,0.0051508-0.0027718i,0.0051534-0.0027712i,0.0051562-0.0027707i,0.0051589-0.0027701i,0.0051618-0.0027696i,0.0051645-0.0027691i,0.0051672-0.0027685i,0.00517-0.002768i,0.0051727-0.0027674i,0.0051755-0.0027669i,0.0051783-0.0027664i,0.0051811-0.0027658i,0.0051838-0.0027653i,0.0051866-0.0027648i,0.0051893-0.0027642i,0.0051921-0.0027637i,0.0051949-0.0027632i,0.0051976-0.0027626i,0.0052004-0.0027621i,0.0052031-0.0027616i,0.0052059-0.0027611i,0.0052087-0.0027605i,0.0052114-0.00276i,0.0052142-0.0027595i,0.005217-0.002759i,0.0052198-0.0027585i,0.0052225-0.0027579i,0.0052253-0.0027574i
0.0050208-0.0020862i,0.0050235-0.0020857i,0.0050263-0.0020853i,0.0050291-0.0020848i,0.0050319-0.0020844i,0.0050347-0.0020839i,0.0050375-0.0020835i,0.0050402-0.002083i,0.005043-0.0020826i,0.0050458-0.0020821i,0.0050486-0.0020817i,0.0050514-0.0020813i,0.0050541-0.0020808i,0.0050569-0.0020804i,0.0050597-0.0020799i,0.0050625-0.0020795i,0.0050653-0.0020791i,0.0050681-0.0020786i,0.0050708-0.0020782i,0.0050736-0.0020777i,0.0050764-0.0020773i,0.0050792-0.0020769i,0.005082-0.0020764i,0.0050848-0.002076i,0.0050876-0.0020756i,0.0050904-0.0020751i,0.0050932-0.0020747i,0.005096-0.0020743i,0.0050987-0.0020738i,0.0051015-0.0020734i,0.0051043-0.002073i,0.0051072-0.0020726i,0.00511-0.0020722i,0.0051128-0.0020717i,0.0051155-0.0020713i,0.0051183-0.0020709i,0.0051212-0.0020705i,0.005124-0.00207i,0.0051268-0.0020696i,0.0051295-0.0020692i,0.0051324-0.0020688i,0.0051352-0.0020684i,0.005138-0.0020679i,0.0051408-0.0020675i,0.0051436-0.0020671i,0.0051464-0.0020667i,0.0051492-0.0020663i,0.005152-0.0020659i,0.0051548-0.0020655i,0.0051576-0.002065i
0.0049294-0.0016071i,0.0049322-0.0016068i,0.004935-0.0016064i,0.0049379-0.0016061i,0.0049407-0.0016057i,0.0049435-0.0016054i,0.0049464-0.001605i,0.0049491-0.0016046i,0.004952-0.0016043i,0.0049548-0.0016039i,0.0049576-0.0016036i,0.0049605-0.0016032i,0.0049633-0.0016029i,0.0049661-0.0016025i,0.0049689-0.0016022i,0.0049717-0.0016018i,0.0049746-0.0016015i,0.0049774-0.0016011i,0.0049802-0.0016008i,0.0049831-0.0016004i,0.0049859-0.0016001i,0.0049887-0.0015998i,0.0049916-0.0015994i,0.0049944-0.0015991i,0.0049972-0.0015987i,0.0050001-0.0015984i,0.0050029-0.001598i,0.0050057-0.0015977i,0.0050086-0.0015973i,0.0050114-0.001597i,0.0050142-0.0015967i,0.0050171-0.0015963i,0.0050199-0.001596i,0.0050228-0.0015957i,0.0050256-0.0015953i,0.0050284-0.001595i,0.0050313-0.0015947i,0.0050341-0.0015943i,0.005037-0.001594i,0.0050398-0.0015936i,0.0050426-0.0015933i,0.0050455-0.001593i,0.0050483-0.0015927i,0.0050512-0.0015923i,0.005054-0.001592i,0.0050569-0.0015917i,0.0050597-0.0015913i,0.0050626-0.001591i,0.0050654-0.0015907i,0.0050683-0.0015904i
0.0048199-0.0012694i,0.0048228-0.0012691i,0.0048256-0.0012688i,0.0048285-0.0012685i,0.0048313-0.0012683i,0.0048342-0.001268i,0.0048371-0.0012677i,0.0048399-0.0012674i,0.0048428-0.0012671i,0.0048456-0.0012669i,0.0048485-0.0012666i,0.0048514-0.0012663i,0.0048542-0.001266i,0.0048571-0.0012658i,0.00486-0.0012655i,0.0048628-0.0012652i,0.0048657-0.001265i,0.0048686-0.0012647i,0.0048714-0.0012644i,0.0048743-0.0012641i,0.0048772-0.0012639i,0.00488-0.0012636i,0.0048829-0.0012633i,0.0048858-0.001263i,0.0048886-0.0012628i,0.0048915-0.0012625i,0.0048944-0.0012622i,0.0048973-0.001262i,0.0049001-0.0012617i,0.004903-0.0012614i,0.0049059-0.0012612i,0.0049088-0.0012609i,0.0049116-0.0012606i,0.0049145-0.0012604i,0.0049174-0.0012601i,0.0049203-0.0012599i,0.0049231-0.0012596i,0.004926-0.0012593i,0.0049289-0.0012591i,0.0049318-0.0012588i,0.0049347-0.0012585i,0.0049375-0.0012583i,0.0049404-0.001258i,0.0049433-0.0012578i,0.0049462-0.0012575i,0.0049491-0.0012572i,0.0049519-0.001257i,0.0049548-0.0012567i,0.0049577-0.0012565i,0.0049606-0.0012562i
0.0047025-0.001021i,0.0047054-0.0010207i,0.0047083-0.0010205i,0.0047112-0.0010203i,0.0047141-0.0010201i,0.004717-0.0010199i,0.0047199-0.0010197i,0.0047228-0.0010194i,0.0047257-0.0010192i,0.0047286-0.001019i,0.0047314-0.0010188i,0.0047343-0.0010186i,0.0047372-0.0010184i,0.0047401-0.0010182i,0.004743-0.001018i,0.0047459-0.0010178i,0.0047488-0.0010176i,0.0047517-0.0010173i,0.0047546-0.0010171i,0.0047575-0.0010169i,0.0047604-0.0010167i,0.0047633-0.0010165i,0.0047662-0.0010163i,0.0047691-0.0010161i,0.004772-0.0010159i,0.0047749-0.0010157i,0.0047778-0.0010155i,0.0047807-0.0010153i,0.0047836-0.0010151i,0.0047865-0.0010149i,0.0047894-0.0010147i,0.0047923-0.0010145i,0.0047952-0.0010143i,0.0047981-0.0010141i,0.0048011-0.0010138i,0.004804-0.0010136i,0.0048069-0.0010134i,0.0048098-0.0010132i,0.0048127-0.001013i,0.0048156-0.0010128i,0.0048185-0.0010126i,0.0048214-0.0010124i,0.0048243-0.0010122i,0.0048272-0.0010121i,0.0048301-0.0010119i,0.0048331-0.0010117i,0.004836-0.0010115i,0.0048389-0.0010113i,0.0048418-0.0010111i,0.0048447-0.0010109i
0.0045885-0.00082941i,0.0045914-0.00082925i,0.0045944-0.00082909i,0.0045973-0.00082893i,0.0046002-0.00082877i,0.0046031-0.00082862i,0.004606-0.00082846i,0.0046089-0.0008283i,0.0046118-0.00082814i,0.0046147-0.00082799i,0.0046177-0.00082783i,0.0046206-0.00082768i,0.0046235-0.00082752i,0.0046264-0.00082737i,0.0046293-0.00082721i,0.0046322-0.00082706i,0.0046352-0.00082691i,0.0046381-0.00082675i,0.004641-0.0008266i,0.0046439-0.00082645i,0.0046468-0.00082629i,0.0046498-0.00082614i,0.0046527-0.00082599i,0.0046556-0.00082584i,0.0046585-0.00082569i,0.0046614-0.00082554i,0.0046644-0.00082539i,0.0046673-0.00082524i,0.0046702-0.00082509i,0.0046731-0.00082494i,0.004676-0.00082479i,0.004679-0.00082464i,0.0046819-0.00082449i,0.0046848-0.00082435i,0.0046877-0.0008242i,0.0046907-0.00082405i,0.0046936-0.00082391i,0.0046965-0.00082376i,0.0046995-0.00082361i,0.0047024-0.00082347i,0.0047053-0.00082332i,0.0047082-0.00082318i,0.0047112-0.00082303i,0.0047141-0.00082289i,0.004717-0.00082275i,0.00472-0.0008226i,0.0047229-0.00082246i,0.0047258-0.00082232i,0.0047288-0.00082217i,0.0047317-0.00082203i
0.0044844-0.00067835i,0.0044873-0.00067824i,0.0044903-0.00067812i,0.0044932-0.00067801i,0.0044961-0.0006779i,0.004499-0.00067779i,0.004502-0.00067767i,0.0045049-0.00067756i,0.0045078-0.00067745i,0.0045107-0.00067734i,0.0045137-0.00067723i,0.0045166-0.00067712i,0.0045195-0.00067701i,0.0045224-0.0006769i,0.0045254-0.00067679i,0.0045283-0.00067668i,0.0045312-0.00067656i,0.0045342-0.00067646i,0.0045371-0.00067635i,0.00454-0.00067624i,0.0045429-0.00067613i,0.0045459-0.00067602i,0.0045488-0.00067591i,0.0045517-0.00067581i,0.0045547-0.0006757i,0.0045576-0.00067559i,0.0045605-0.00067548i,0.0045635-0.00067538i,0.0045664-0.00067527i,0.0045693-0.00067517i,0.0045723-0.00067506i,0.0045752-0.00067495i,0.0045781-0.00067485i,0.0045811-0.00067474i,0.004584-0.00067464i,0.004587-0.00067453i,0.0045899-0.00067443i,0.0045928-0.00067432i,0.0045958-0.00067422i,0.0045987-0.00067412i,0.0046016-0.00067401i,0.0046046-0.00067391i,0.0046075-0.0006738i,0.0046105-0.0006737i,0.0046134-0.0006736i,0.0046163-0.0006735i,0.0046193-0.00067339i,0.0046222-0.00067329i,0.0046252-0.00067319i,0.0046281-0.00067309i
0.0043949-0.0005556i,0.0043978-0.00055552i,0.0044008-0.00055545i,0.0044037-0.00055537i,0.0044066-0.00055529i,0.0044096-0.00055522i,0.0044125-0.00055514i,0.0044154-0.00055507i,0.0044183-0.00055499i,0.0044213-0.00055492i,0.0044242-0.00055484i,0.0044272-0.00055476i,0.0044301-0.00055469i,0.004433-0.00055462i,0.0044359-0.00055454i,0.0044389-0.00055447i,0.0044418-0.00055439i,0.0044448-0.00055431i,0.0044477-0.00055425i,0.0044506-0.00055417i,0.0044535-0.0005541i,0.0044565-0.00055402i,0.0044594-0.00055395i,0.0044623-0.00055388i,0.0044653-0.00055381i,0.0044682-0.00055373i,0.0044712-0.00055366i,0.0044741-0.00055358i,0.004477-0.00055352i,0.0044799-0.00055345i,0.0044829-0.00055338i,0.0044858-0.0005533i,0.0044888-0.00055323i,0.0044917-0.00055315i,0.0044947-0.00055308i,0.0044976-0.00055301i,0.0045006-0.00055294i,0.0045035-0.00055287i,0.0045064-0.0005528i,0.0045094-0.00055274i,0.0045123-0.00055266i,0.0045153-0.00055259i,0.0045182-0.00055252i,0.0045212-0.00055245i,0.0045241-0.00055239i,0.004527-0.00055232i,0.00453-0.00055225i,0.0045329-0.00055218i,0.0045359-0.00055211i,0.0045388-0.00055204i
0.0043257-0.00045633i,0.0043286-0.00045628i,0.0043315-0.00045623i,0.0043344-0.00045618i,0.0043374-0.00045613i,0.0043403-0.00045608i,0.0043433-0.00045603i,0.0043462-0.00045599i,0.0043491-0.00045594i,0.004352-0.00045589i,0.0043549-0.00045584i,0.0043579-0.00045579i,0.0043608-0.00045575i,0.0043637-0.0004557i,0.0043667-0.00045565i,0.0043696-0.0004556i,0.0043726-0.00045555i,0.0043755-0.0004555i,0.0043784-0.00045546i,0.0043813-0.00045541i,0.0043843-0.00045537i,0.0043872-0.00045531i,0.0043902-0.00045527i,0.0043931-0.00045523i,0.004396-0.00045518i,0.0043989-0.00045513i,0.0044019-0.00045508i,0.0044049-0.00045503i,0.0044078-0.000455i,0.0044107-0.00045495i,0.0044136-0.0004549i,0.0044166-0.00045485i,0.0044195-0.00045481i,0.0044225-0.00045476i,0.0044254-0.00045472i,0.0044284-0.00045467i,0.0044313-0.00045463i,0.0044343-0.00045458i,0.0044372-0.00045453i,0.0044401-0.0004545i,0.0044431-0.00045445i,0.004446-0.0004544i,0.004449-0.00045436i,0.0044519-0.00045431i,0.0044549-0.00045427i,0.0044578-0.00045423i,0.0044607-0.00045418i,0.0044637-0.00045414i,0.0044666-0.00045409i,0.0044696-0.00045405i
0.0042646-0.00035914i,0.0042675-0.00035911i,0.0042705-0.00035908i,0.0042734-0.00035905i,0.0042763-0.00035902i,0.0042793-0.00035899i,0.0042822-0.00035895i,0.0042851-0.00035892i,0.0042881-0.00035889i,0.004291-0.00035886i,0.0042939-0.00035883i,0.0042969-0.0003588i,0.0042998-0.00035877i,0.0043027-0.00035874i,0.0043056-0.00035871i,0.0043086-0.00035868i,0.0043116-0.00035865i,0.0043145-0.00035862i,0.0043174-0.00035859i,0.0043203-0.00035856i,0.0043233-0.00035854i,0.0043262-0.0003585i,0.0043292-0.00035847i,0.0043321-0.00035845i,0.004335-0.00035842i,0.0043379-0.00035839i,0.0043409-0.00035836i,0.0043439-0.00035833i,0.0043468-0.0003583i,0.0043497-0.00035827i,0.0043526-0.00035825i,0.0043556-0.00035821i,0.0043586-0.00035818i,0.0043615-0.00035815i,0.0043644-0.00035813i,0.0043674-0.0003581i,0.0043703-0.00035807i,0.0043733-0.00035804i,0.0043762-0.00035801i,0.0043791-0.00035799i,0.0043821-0.00035796i,0.004385-0.00035793i,0.004388-0.0003579i,0.0043909-0.00035788i,0.0043939-0.00035785i,0.0043968-0.00035782i,0.0043998-0.0003578i,0.0044027-0.00035777i,0.0044057-0.00035774i,0.0044086-0.00035772i
0.0042193-0.00026705i,0.0042222-0.00026703i,0.0042252-0.00026702i,0.0042281-0.000267i,0.004231-0.00026698i,0.004234-0.00026697i,0.0042369-0.00026695i,0.0042398-0.00026693i,0.0042428-0.00026692i,0.0042457-0.0002669i,0.0042486-0.00026689i,0.0042516-0.00026687i,0.0042545-0.00026685i,0.0042574-0.00026684i,0.0042604-0.00026682i,0.0042633-0.00026681i,0.0042663-0.00026679i,0.0042692-0.00026677i,0.0042721-0.00026676i,0.004275-0.00026674i,0.004278-0.00026673i,0.0042809-0.00026671i,0.0042839-0.00026669i,0.0042868-0.00026668i,0.0042897-0.00026667i,0.0042927-0.00026665i,0.0042956-0.00026663i,0.0042986-0.00026662i,0.0043015-0.00026661i,0.0043044-0.00026659i,0.0043074-0.00026658i,0.0043103-0.00026656i,0.0043133-0.00026654i,0.0043162-0.00026653i,0.0043192-0.00026651i,0.0043221-0.0002665i,0.0043251-0.00026648i,0.004328-0.00026647i,0.004331-0.00026645i,0.0043338-0.00026644i,0.0043368-0.00026643i,0.0043398-0.00026641i,0.0043427-0.0002664i,0.0043457-0.00026638i,0.0043486-0.00026637i,0.0043516-0.00026635i,0.0043545-0.00026634i,0.0043575-0.00026632i,0.0043604-0.00026631i,0.0043634-0.0002663i
0.0042028-0.0001805i,0.0042058-0.0001805i,0.0042087-0.0001805i,0.0042116-0.00018049i,0.0042145-0.00018049i,0.0042175-0.00018049i,0.0042204-0.00018048i,0.0042233-0.00018048i,0.0042263-0.00018047i,0.0042292-0.00018047i,0.0042321-0.00018047i,0.0042351-0.00018046i,0.004238-0.00018046i,0.0042409-0.00018046i,0.0042438-0.00018045i,0.0042468-0.00018045i,0.0042497-0.00018045i,0.0042527-0.00018044i,0.0042556-0.00018044i,0.0042585-0.00018044i,0.0042614-0.00018043i,0.0042644-0.00018043i,0.0042674-0.00018043i,0.0042702-0.00018042i,0.0042732-0.00018042i,0.0042761-0.00018042i,0.0042791-0.00018041i,0.004282-0.00018041i,0.0042849-0.00018041i,0.0042879-0.00018041i,0.0042908-0.0001804i,0.0042938-0.0001804i,0.0042967-0.0001804i,0.0042997-0.00018039i,0.0043026-0.00018039i,0.0043055-0.00018039i,0.0043085-0.00018038i,0.0043114-0.00018038i,0.0043144-0.00018038i,0.0043173-0.00018038i,0.0043203-0.00018037i,0.0043232-0.00018037i,0.0043262-0.00018037i,0.0043291-0.00018036i,0.004332-0.00018036i,0.004335-0.00018036i,0.0043379-0.00018036i,0.0043409-0.00018035i,0.0043438-0.00018035i,0.0043468-0.00018035i
0.0042202-0.00012402i,0.0042231-0.00012402i,0.0042261-0.00012403i,0.004229-0.00012403i,0.0042319-0.00012403i,0.0042348-0.00012404i,0.0042378-0.00012404i,0.0042407-0.00012405i,0.0042436-0.00012405i,0.0042465-0.00012406i,0.0042494-0.00012406i,0.0042524-0.00012407i,0.0042553-0.00012407i,0.0042582-0.00012407i,0.0042612-0.00012408i,0.0042641-0.00012408i,0.004267-0.00012409i,0.00427-0.00012409i,0.0042729-0.00012409i,0.0042758-0.0001241i,0.0042787-0.0001241i,0.0042817-0.00012411i,0.0042846-0.00012411i,0.0042875-0.00012412i,0.0042904-0.00012412i,0.0042934-0.00012413i,0.0042963-0.00012413i,0.0042993-0.00012414i,0.0043022-0.00012414i,0.0043051-0.00012414i,0.004308-0.00012415i,0.004311-0.00012415i,0.0043139-0.00012416i,0.0043169-0.00012416i,0.0043198-0.00012417i,0.0043228-0.00012417i,0.0043257-0.00012418i,0.0043286-0.00012418i,0.0043316-0.00012418i,0.0043345-0.00012419i,0.0043374-0.00012419i,0.0043404-0.0001242i,0.0043433-0.0001242i,0.0043463-0.00012421i,0.0043492-0.00012421i,0.0043521-0.00012422i,0.0043551-0.00012422i,0.004358-0.00012423i,0.004361-0.00012423i,0.0043639-0.00012424i
0.0042402-0.00010577i,0.0042432-0.00010578i,0.0042461-0.00010579i,0.004249-0.0001058i,0.0042519-0.0001058i,0.0042548-0.00010581i,0.0042578-0.00010582i,0.0042607-0.00010582i,0.0042636-0.00010583i,0.0042665-0.00010584i,0.0042695-0.00010585i,0.0042724-0.00010585i,0.0042753-0.00010586i,0.0042782-0.00010587i,0.0042811-0.00010588i,0.0042841-0.00010588i,0.004287-0.00010589i,0.00429-0.0001059i,0.0042928-0.0001059i,0.0042958-0.00010591i,0.0042987-0.00010592i,0.0043017-0.00010593i,0.0043046-0.00010594i,0.0043075-0.00010594i,0.0043104-0.00010595i,0.0043133-0.00010596i,0.0043163-0.00010596i,0.0043192-0.00010597i,0.0043221-0.00010598i,0.0043251-0.00010599i,0.004328-0.00010599i,0.004331-0.000106i,0.0043339-0.00010601i,0.0043368-0.00010602i,0.0043398-0.00010602i,0.0043427-0.00010603i,0.0043456-0.00010604i,0.0043486-0.00010605i,0.0043515-0.00010605i,0.0043544-0.00010606i,0.0043574-0.00010607i,0.0043603-0.00010608i,0.0043632-0.00010608i,0.0043662-0.00010609i,0.0043691-0.0001061i,0.0043721-0.0001061i,0.004375-0.00010611i,0.0043779-0.00010612i,0.0043809-0.00010613i,0.0043838-0.00010613i
0.0042514-0.00010688i,0.0042543-0.00010689i,0.0042573-0.0001069i,0.0042602-0.00010691i,0.0042631-0.00010692i,0.004266-0.00010693i,0.004269-0.00010694i,0.0042719-0.00010694i,0.0042748-0.00010695i,0.0042777-0.00010696i,0.0042807-0.00010697i,0.0042836-0.00010698i,0.0042865-0.00010699i,0.0042894-0.000107i,0.0042923-0.000107i,0.0042953-0.00010701i,0.0042982-0.00010702i,0.0043012-0.00010703i,0.0043041-0.00010704i,0.004307-0.00010705i,0.0043099-0.00010706i,0.0043129-0.00010707i,0.0043158-0.00010708i,0.0043187-0.00010708i,0.0043216-0.00010709i,0.0043246-0.0001071i,0.0043275-0.00010711i,0.0043305-0.00010712i,0.0043334-0.00010713i,0.0043363-0.00010713i,0.0043392-0.00010714i,0.0043422-0.00010715i,0.0043451-0.00010716i,0.0043481-0.00010717i,0.004351-0.00010718i,0.0043539-0.00010719i,0.0043569-0.0001072i,0.0043598-0.00010721i,0.0043627-0.00010721i,0.0043656-0.00010722i,0.0043686-0.00010723i,0.0043715-0.00010724i,0.0043745-0.00010725i,0.0043774-0.00010726i,0.0043804-0.00010727i,0.0043833-0.00010728i,0.0043862-0.00010728i,0.0043892-0.00010729i,0.0043921-0.0001073i,0.0043951-0.00010731i
0.004256-0.00011819i,0.0042589-0.0001182i,0.0042618-0.00011821i,0.0042647-0.00011822i,0.0042677-0.00011823i,0.0042706-0.00011824i,0.0042735-0.00011825i,0.0042764-0.00011825i,0.0042794-0.00011826i,0.0042823-0.00011827i,0.0042852-0.00011828i,0.0042882-0.00011829i,0.0042911-0.0001183i,0.004294-0.00011831i,0.0042969-0.00011832i,0.0042999-0.00011833i,0.0043028-0.00011834i,0.0043058-0.00011835i,0.0043087-0.00011836i,0.0043116-0.00011837i,0.0043145-0.00011838i,0.0043175-0.00011839i,0.0043204-0.0001184i,0.0043233-0.00011841i,0.0043263-0.00011842i,0.0043292-0.00011843i,0.0043321-0.00011844i,0.0043351-0.00011845i,0.004338-0.00011846i,0.0043409-0.00011847i,0.0043439-0.00011848i,0.0043468-0.00011849i,0.0043498-0.0001185i,0.0043527-0.00011851i,0.0043556-0.00011852i,0.0043586-0.00011852i,0.0043615-0.00011853i,0.0043645-0.00011854i,0.0043674-0.00011855i,0.0043703-0.00011856i,0.0043733-0.00011857i,0.0043762-0.00011858i,0.0043792-0.00011859i,0.0043821-0.0001186i,0.004385-0.00011861i,0.004388-0.00011862i,0.0043909-0.00011863i,0.0043939-0.00011864i,0.0043968-0.00011865i,0.0043998-0.00011866i
0.0042559-0.00013786i,0.0042588-0.00013787i,0.0042618-0.00013788i,0.0042647-0.0001379i,0.0042676-0.00013791i,0.0042706-0.00013792i,0.0042735-0.00013793i,0.0042764-0.00013794i,0.0042793-0.00013795i,0.0042823-0.00013796i,0.0042852-0.00013797i,0.0042882-0.00013798i,0.0042911-0.00013799i,0.004294-0.000138i,0.0042969-0.00013801i,0.0042999-0.00013802i,0.0043028-0.00013803i,0.0043058-0.00013804i,0.0043087-0.00013805i,0.0043116-0.00013806i,0.0043146-0.00013808i,0.0043175-0.00013809i,0.0043205-0.0001381i,0.0043234-0.00013811i,0.0043263-0.00013812i,0.0043293-0.00013813i,0.0043322-0.00013814i,0.0043352-0.00013815i,0.0043381-0.00013816i,0.004341-0.00013817i,0.004344-0.00013818i,0.0043469-0.00013819i,0.0043499-0.0001382i,0.0043528-0.00013821i,0.0043557-0.00013823i,0.0043587-0.00013824i,0.0043616-0.00013825i,0.0043646-0.00013826i,0.0043675-0.00013827i,0.0043705-0.00013828i,0.0043734-0.00013829i,0.0043764-0.0001383i,0.0043793-0.00013831i,0.0043823-0.00013832i,0.0043852-0.00013833i,0.0043882-0.00013834i,0.0043911-0.00013835i,0.0043941-0.00013836i,0.004397-0.00013838i,0.0043999-0.00013839i
0.0042535-0.00016688i,0.0042564-0.0001669i,0.0042594-0.00016691i,0.0042623-0.00016692i,0.0042652-0.00016693i,0.0042682-0.00016694i,0.0042711-0.00016696i,0.004274-0.00016697i,0.004277-0.00016698i,0.0042799-0.00016699i,0.0042829-0.000167i,0.0042858-0.00016702i,0.0042887-0.00016703i,0.0042917-0.00016704i,0.0042946-0.00016705i,0.0042976-0.00016706i,0.0043005-0.00016708i,0.0043035-0.00016709i,0.0043064-0.0001671i,0.0043093-0.00016711i,0.0043123-0.00016712i,0.0043152-0.00016714i,0.0043182-0.00016715i,0.0043211-0.00016716i,0.004324-0.00016717i,0.004327-0.00016718i,0.0043299-0.0001672i,0.0043329-0.00016721i,0.0043358-0.00016722i,0.0043388-0.00016723i,0.0043417-0.00016725i,0.0043447-0.00016726i,0.0043476-0.00016727i,0.0043506-0.00016728i,0.0043535-0.00016729i,0.0043565-0.00016731i,0.0043594-0.00016732i,0.0043624-0.00016733i,0.0043653-0.00016734i,0.0043682-0.00016735i,0.0043712-0.00016737i,0.0043742-0.00016738i,0.0043771-0.00016739i,0.0043801-0.0001674i,0.004383-0.00016742i,0.004386-0.00016743i,0.0043889-0.00016744i,0.0043919-0.00016745i,0.0043948-0.00016746i,0.0043978-0.00016748i
0.004249-0.00020863i,0.0042519-0.00020865i,0.0042549-0.00020866i,0.0042578-0.00020867i,0.0042608-0.00020869i,0.0042637-0.0002087i,0.0042667-0.00020871i,0.0042696-0.00020873i,0.0042725-0.00020874i,0.0042755-0.00020876i,0.0042784-0.00020877i,0.0042814-0.00020878i,0.0042843-0.0002088i,0.0042872-0.00020881i,0.0042902-0.00020882i,0.0042931-0.00020884i,0.0042961-0.00020885i,0.004299-0.00020886i,0.004302-0.00020888i,0.0043049-0.00020889i,0.0043079-0.00020891i,0.0043108-0.00020892i,0.0043138-0.00020893i,0.0043167-0.00020895i,0.0043197-0.00020896i,0.0043226-0.00020898i,0.0043256-0.00020899i,0.0043285-0.000209i,0.0043315-0.00020902i,0.0043344-0.00020903i,0.0043374-0.00020904i,0.0043403-0.00020906i,0.0043433-0.00020907i,0.0043462-0.00020909i,0.0043492-0.0002091i,0.0043521-0.00020911i,0.0043551-0.00020913i,0.004358-0.00020914i,0.004361-0.00020916i,0.0043639-0.00020917i,0.0043669-0.00020918i,0.0043699-0.0002092i,0.0043728-0.00020921i,0.0043758-0.00020922i,0.0043787-0.00020924i,0.0043817-0.00020925i,0.0043847-0.00020927i,0.0043876-0.00020928i,0.0043906-0.00020929i,0.0043935-0.00020931i
0.0042407-0.00026804i,0.0042436-0.00026806i,0.0042466-0.00026807i,0.0042495-0.00026809i,0.0042525-0.00026811i,0.0042554-0.00026812i,0.0042584-0.00026814i,0.0042613-0.00026815i,0.0042643-0.00026817i,0.0042672-0.00026819i,0.0042702-0.0002682i,0.0042731-0.00026822i,0.004276-0.00026824i,0.004279-0.00026825i,0.0042819-0.00026827i,0.0042849-0.00026828i,0.0042879-0.0002683i,0.0042908-0.00026832i,0.0042937-0.00026833i,0.0042967-0.00026835i,0.0042996-0.00026837i,0.0043026-0.00026838i,0.0043056-0.0002684i,0.0043085-0.00026841i,0.0043115-0.00026843i,0.0043144-0.00026845i,0.0043174-0.00026846i,0.0043203-0.00026848i,0.0043233-0.0002685i,0.0043262-0.00026851i,0.0043292-0.00026853i,0.0043321-0.00026854i,0.0043351-0.00026856i,0.0043381-0.00026858i,0.004341-0.00026859i,0.004344-0.00026861i,0.0043469-0.00026863i,0.0043499-0.00026864i,0.0043529-0.00026866i,0.0043558-0.00026868i,0.0043588-0.00026869i,0.0043617-0.00026871i,0.0043647-0.00026873i,0.0043677-0.00026874i,0.0043706-0.00026876i,0.0043736-0.00026878i,0.0043765-0.00026879i,0.0043795-0.00026881i,0.0043825-0.00026882i,0.0043854-0.00026884i
